,0,1
0,CHRIS WALLACE:,"Good evening, from the Health Education Campus of Case Western Reserve University and the Cleveland Clinic.  I'm Chris Wallace of Fox News, and I welcome you to the first of the 2020 Presidential Debates between President Donald J. Trump and former Vice President Joe Biden.  This debate is sponsored by the Commission on Presidential Debates.  The Commission has designed the format, six roughly 15-minute segments, with 2-minute answers from each candidate to the first question, then open discussion for the rest of each segment.  Both campaigns have agreed to these rules.  For the record, I decided the topics and the questions in each topic.  I can assure you, none of the questions has been shared with the Commission or the two candidates.  This debate is being conducted under health and safety protocols designed by the Cleveland Clinic, which is serving as the health security advisor to the Commission for all four debates.  As a precaution, both campaigns have agreed the candidates will not shake hands at the beginning of tonight's debate.  The audience here in the hall has promised to remain silent; no cheers, no boos, or other interruptions so we, and more importantly you, can focus on what the candidates have to say.  No noise except right now, as we welcome the Republican nominee, President Trump and the Democratic nominee, Vice President Biden."
1,JOE BIDEN:,"How you doing, man?"
2,DONALD TRUMP:,How are you?
3,JOE BIDEN:,Doing well.
4,CHRIS WALLACE:,"Gentlemen, a lot of people have been waiting for this night.  So, let's get going.  Our first subject is the Supreme Court.  President Trump, you nominated Amy Coney Barrett over the weekend to succeed the late Ruth Bader Ginsburg on the Court.  You say the Constitution is clear about your obligation and the Senate's to consider a nominee to the Court.  Vice President Biden, you say that this is an effort by the President and Republicans to jam through in an appointment in what you call an abuse of power.  My first question to both of you tonight, why are you right in the argument you make, and your opponent wrong, and where do you think a Justice Barrett would take the Court?  President Trump, in this first segment, you go first.  Two minutes."
5,DONALD TRUMP:,"Thank you very much, Chris.  I will tell you very simply, we won the election.  Elections have consequences.  We have the Senate.  We have the White House, and we have a phenomenal nominee, respected by all.  Top, top academic, uh, good in every way.  Good in every way.  In fact, uh, some of her biggest endorsers are very liberal people from Notre Dame and other places.  So I think she's going to be fantastic.  We have plenty of time, uh, even if we did it after the election itself.  I have a lot of time after the election, as you know.  So I think that, uh, she will be outstanding.  She's going to be a, as good as anybody that has served on that Court.  We really feel that.  Uh, we have a professor at Notre Dame, highly respected by all, says she's the single greatest student he's ever had.  He's been a professor for a long time at a great school, and, uh, we just, uh, we won the election, and therefore we have the right to choose her, and very few people knowingly would say otherwise.  And, by the way, the Democrats, they wouldn't even think about not doing it.  If they had, the only difference is they'd try and do it faster.  There's no way they would give it up.  They had Merrick Garland, but the problem is, they didn't have the election, so they were stopped, and probably that would happen in reverse also.  Definitely would happen in reverse.  So we won the election, and we have the right to do it, Chris."
6,CHRIS WALLACE:,"President Trump, thank you.  Um, same question to you, Vice President Biden.  You have 2 minutes."
7,JOE BIDEN:,"Well, first of all, um, thank you for doing this, and –"
8,DONALD TRUMP:,Thank you.
9,JOE BIDEN:,"Looking forward to this, Mr. President."
10,DONALD TRUMP:,"Thank you, Joe."
